"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_km","duration_seconds","rpe"
"Lower body","27 Mar 2026, 17:35","27 Mar 2026, 18:10","","Squat (Barbell)",,"",0,"warmup",225,5,,,
"Lower body","27 Mar 2026, 17:35","27 Mar 2026, 18:10","","Squat (Barbell)",,"",1,"normal",280,5,,,
"Lower body","27 Mar 2026, 17:35","27 Mar 2026, 18:10","","Squat (Barbell)",,"",2,"normal",280,5,,,
"Upper body","26 Mar 2026, 17:22","26 Mar 2026, 18:23","","Bench Press (Barbell)",,"",0,"normal",240,5,,,
"Upper body","26 Mar 2026, 17:22","26 Mar 2026, 18:23","","Bench Press (Barbell)",,"",1,"normal",240,4,,,
"Upper body","26 Mar 2026, 17:22","26 Mar 2026, 18:23","","Incline Chest Press (Machine)",,"",0,"normal",190,5,,,
"Upper body","26 Mar 2026, 17:22","26 Mar 2026, 18:23","","Seated Cable Row - V Grip (Cable)",,"",0,"normal",220,7,,,
"Upper body","26 Mar 2026, 17:22","26 Mar 2026, 18:23","","Lat Pulldown (Cable)",,"",0,"normal",210,6,,,
"Upper body","26 Mar 2026, 17:22","26 Mar 2026, 18:23","","Kelso shrug machine row",,"",0,"normal",260,5,,,
"Upper body","26 Mar 2026, 17:22","26 Mar 2026, 18:23","","Iso-Lateral Row (Machine)",,"",0,"dropset",180,4,,,
"Upper body","26 Mar 2026, 17:22","26 Mar 2026, 18:23","","Preacher Curl (Machine)",,"",0,"normal",140,7,,,
"Upper body","26 Mar 2026, 17:22","26 Mar 2026, 18:23","","Triceps Extension (Cable)",,"",0,"normal",57.5,6,,,
"Upper body","26 Mar 2026, 17:22","26 Mar 2026, 18:23","","Lateral Raise (Machine)",,"",0,"normal",110,7,,,
"Upper body","26 Mar 2026, 17:22","26 Mar 2026, 18:23","","Rear Delt Reverse Fly (Machine)",,"",0,"normal",145,6,,,
"Lower body","25 Mar 2026, 17:28","25 Mar 2026, 18:19","","Squat (Barbell)",,"",0,"warmup",225,5,,,
"Lower body","25 Mar 2026, 17:28","25 Mar 2026, 18:19","","Squat (Barbell)",,"",1,"normal",280,5,,,
"Lower body","25 Mar 2026, 17:28","25 Mar 2026, 18:19","","Squat (Barbell)",,"",2,"normal",280,5,,,
"Lower body","25 Mar 2026, 17:28","25 Mar 2026, 18:19","","Back Extension (Weighted Hyperextension)",,"",0,"normal",125,6,,,
"Lower body","25 Mar 2026, 17:28","25 Mar 2026, 18:19","","Seated Leg Curl (Machine)",,"",0,"normal",190,6,,,
"Lower body","25 Mar 2026, 17:28","25 Mar 2026, 18:19","","Leg Extension (Machine)",,"",0,"normal",235,8,,,
"Lower body","25 Mar 2026, 17:28","25 Mar 2026, 18:19","","Standing Calf Raise (Machine)",,"",0,"normal",330,7,,,
