Workout Start,Workout End,Exercise,Weight,Reps,Notes,Kcal,Distance,Duration,Category,Name,Bodyweight
2/28/2023 13:24,2/28/2023 15:18,Pull Up,0,8,,,,,Back,Athletics Pull,
2/28/2023 13:24,2/28/2023 15:18,Pull Up,10,8,,,,,Back,Athletics Pull,
2/28/2023 13:24,2/28/2023 15:18,Pull Up,10,8,,,,,Back,Athletics Pull,
2/28/2023 13:24,2/28/2023 15:18,Pull Up,10,6,,,,,Back,Athletics Pull,
2/28/2023 13:24,2/28/2023 15:18,T-Bar row,80,7,,,,,Back,Athletics Pull,
2/28/2023 13:24,2/28/2023 15:18,T-Bar row,70,8,,,,,Back,Athletics Pull,
2/28/2023 13:24,2/28/2023 15:18,T-Bar row,70,8,,,,,Back,Athletics Pull,
2/28/2023 13:24,2/28/2023 15:18,Bird dog row,10,8,,,,,Abs,Athletics Pull,
2/28/2023 13:24,2/28/2023 15:18,Bird dog row,15,8,,,,,Abs,Athletics Pull,
2/28/2023 13:24,2/28/2023 15:18,Bird dog row,15,8,,,,,Abs,Athletics Pull,
2/28/2023 13:24,2/28/2023 15:18,Dumbbell delt ,15,10,,,,,Shoulders,Athletics Pull,
2/28/2023 13:24,2/28/2023 15:18,Dumbbell delt ,15,10,,,,,Shoulders,Athletics Pull,
2/28/2023 13:24,2/28/2023 15:18,Dumbbell delt ,15,10,,,,,Shoulders,Athletics Pull,
2/28/2023 13:24,2/28/2023 15:18,Dumbbell Bicep Curl,60,7,,,,,Biceps,Athletics Pull,
2/28/2023 13:24,2/28/2023 15:18,Dumbbell Bicep Curl,60,7,,,,,Biceps,Athletics Pull,
2/28/2023 13:24,2/28/2023 15:18,Dumbbell Bicep Curl,60,5,,,,,Biceps,Athletics Pull,
2/28/2023 13:24,2/28/2023 15:18,Hammer Curl,25,8,,,,,Biceps,Athletics Pull,
2/28/2023 13:24,2/28/2023 15:18,Hammer Curl,25,8,,,,,Biceps,Athletics Pull,
2/28/2023 13:24,2/28/2023 15:18,Hammer Curl,25,8,,,,,Biceps,Athletics Pull,
2/27/2023 15:17,2/27/2023 16:47,Bench Press,135,8,,,,,Chest,Athletic push ,
2/27/2023 15:17,2/27/2023 16:47,Bench Press,155,5,,,,,Chest,Athletic push ,
2/27/2023 15:17,2/27/2023 16:47,Bench Press,155,4,,,,,Chest,Athletic push ,
2/27/2023 15:17,2/27/2023 16:47,Bench Press,135,,,,,,Chest,Athletic push ,
2/27/2023 15:17,2/27/2023 16:47,Push up plyo explosive,0,8,,,,,Chest,Athletic push ,
2/27/2023 15:17,2/27/2023 16:47,Push up plyo explosive,0,8,,,,,Chest,Athletic push ,
2/27/2023 15:17,2/27/2023 16:47,Push up plyo explosive,0,7,,,,,Chest,Athletic push ,
2/27/2023 15:17,2/27/2023 16:47,Push up plyo explosive,,,,,,,Chest,Athletic push ,
2/27/2023 15:17,2/27/2023 16:47,Dips,35,7,,,,,Triceps,Athletic push ,
2/27/2023 15:17,2/27/2023 16:47,Dips,35,7,,,,,Triceps,Athletic push ,
2/27/2023 15:17,2/27/2023 16:47,Dips,35,6,,,,,Triceps,Athletic push ,
2/27/2023 15:17,2/27/2023 16:47,Single Leg KB Overhead Press,15,7,,,,,Shoulders,Athletic push ,
2/27/2023 15:17,2/27/2023 16:47,Single Leg KB Overhead Press,15,8,,,,,Shoulders,Athletic push ,
2/27/2023 15:17,2/27/2023 16:47,Single Leg KB Overhead Press,15,8,,,,,Shoulders,Athletic push ,
2/27/2023 15:17,2/27/2023 16:47,Single Leg KB Overhead Press,25,8,,,,,Shoulders,Athletic push ,
2/27/2023 15:17,2/27/2023 16:47,Single Leg KB Overhead Press,25,6,,,,,Shoulders,Athletic push ,
2/27/2023 15:17,2/27/2023 16:47,Dumbbell Lateral Raises,40,5,,,,,Shoulders,Athletic push ,
2/27/2023 15:17,2/27/2023 16:47,Dumbbell Lateral Raises,40,8,,,,,Shoulders,Athletic push ,
2/27/2023 15:17,2/27/2023 16:47,Dumbbell Lateral Raises,40,8,,,,,Shoulders,Athletic push ,
2/25/2023 14:23,2/25/2023 15:41,Squat,115,10,,,,,Legs,Athletics Leg,
2/25/2023 14:23,2/25/2023 15:41,Squat,165,8,,,,,Legs,Athletics Leg,
2/25/2023 14:23,2/25/2023 15:41,Squat,175,7,,,,,Legs,Athletics Leg,
2/25/2023 14:23,2/25/2023 15:41,Squat,175,8,,,,,Legs,Athletics Leg,
2/25/2023 14:23,2/25/2023 15:41,Static squad jumb,0,12,,,,,Legs,Athletics Leg,
2/25/2023 14:23,2/25/2023 15:41,Static squad jumb,0,12,,,,,Legs,Athletics Leg,
2/25/2023 14:23,2/25/2023 15:41,Static squad jumb,0,12,,,,,Legs,Athletics Leg,
2/25/2023 14:23,2/25/2023 15:41,Static squad jumb,0,120,,,,,Legs,Athletics Leg,
2/25/2023 14:23,2/25/2023 15:41,Box single leg jumb,0,12,,,,,Legs,Athletics Leg,
