Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,RPE
11/18/2024 15:04,Upper A,1h 30min,Incline Bench Press (Smith Machine),1,120,8,0,0,
11/18/2024 15:04,Upper A,1h 30min,Incline Bench Press (Smith Machine),2,130,6,0,0,
11/18/2024 15:04,Upper A,1h 30min,Lat Pulldown (Cable),1,165,7,0,0,
11/18/2024 15:04,Upper A,1h 30min,Lat Pulldown (Cable),2,170,6,0,0,
11/18/2024 15:04,Upper A,1h 30min,Bench Press (Smith Machine),1,160,6,0,0,
11/18/2024 15:04,Upper A,1h 30min,Preacher Curl (Machine),1,105,4,0,0,10
11/18/2024 15:04,Upper A,1h 30min,Preacher Curl (Machine),2,95,6,0,0,
11/18/2024 15:04,Upper A,1h 30min,Triceps Extension,1,47,5,0,0,10
11/18/2024 15:04,Upper A,1h 30min,Triceps Extension,2,40,8,0,0,9
11/18/2024 15:04,Upper A,1h 30min,Running (Treadmill),1,0,0,1.36,1514,
11/20/2024 14:37,Lower A/B,1h 52min,Stretching,1,0,0,0,300,
11/20/2024 14:37,Lower A/B,1h 52min,Hack Squat,1,230,7,0,0,9
11/20/2024 14:37,Lower A/B,1h 52min,Hack Squat,2,250,7,0,0,10
11/20/2024 14:37,Lower A/B,1h 52min,Lying Leg Curl (Machine),1,135,7,0,0,10
11/20/2024 14:37,Lower A/B,1h 52min,Lying Leg Curl (Machine),2,0,0,0,0,
11/20/2024 14:37,Lower A/B,1h 52min,Leg Extension (Machine),1,150,8,0,0,9
11/20/2024 14:37,Lower A/B,1h 52min,Leg Extension (Machine),2,165,7,0,0,9
11/20/2024 14:37,Lower A/B,1h 52min,Stiff Leg Deadlift (Dumbbell),1,0,0,0,0,
11/20/2024 14:37,Lower A/B,1h 52min,Stiff Leg Deadlift (Dumbbell),2,0,0,0,0,
11/20/2024 14:37,Lower A/B,1h 52min,Lateral Raise (Cable),1,30,4,0,0,9
11/20/2024 14:37,Lower A/B,1h 52min,Lateral Raise (Cable),2,15,8,0,0,8
11/20/2024 14:37,Lower A/B,1h 52min,Reverse Fly (Cable),1,20,8,0,0,9
11/20/2024 14:37,Lower A/B,1h 52min,Reverse Fly (Cable),2,20,8,0,0,9
11/20/2024 14:37,Lower A/B,1h 52min,Calf Press on Leg Press,1,180,12,0,0,8
11/20/2024 14:37,Lower A/B,1h 52min,Calf Press on Leg Press,2,230,8,0,0,8
11/20/2024 14:37,Lower A/B,1h 52min,Running (Treadmill),1,0,0,1.26,1379,
11/20/2024 14:37,Lower A/B,1h 52min,Stretching,1,0,0,0,300,
11/22/2024 16:48,Upper B,1h 29min,Incline Bench Press (Smith Machine),1,130,8,0,0,9
11/22/2024 16:48,Upper B,1h 29min,Incline Bench Press (Smith Machine),2,130,7,0,0,10
11/22/2024 16:48,Upper B,1h 29min,Lat Pulldown (Cable),1,165,8,0,0,9
11/22/2024 16:48,Upper B,1h 29min,Lat Pulldown (Cable),2,170,7,0,0,10
11/22/2024 16:48,Upper B,1h 29min,Bench Press (Smith Machine),1,160,6,0,0,9
11/22/2024 16:48,Upper B,1h 29min,Seated Row (Cable),1,135,7,0,0,9
11/22/2024 16:48,Upper B,1h 29min,Seated Row (Cable),2,135,7,0,0,10
11/22/2024 16:48,Upper B,1h 29min,Bicep Curl (Cable),1,90,7,0,0,
11/22/2024 16:48,Upper B,1h 29min,Bicep Curl (Cable),2,90,6,0,0,
11/22/2024 16:48,Upper B,1h 29min,Triceps Extension,1,43,7,0,0,9
11/22/2024 16:48,Upper B,1h 29min,Triceps Extension,2,43,10,0,0,
11/22/2024 16:48,Upper B,1h 29min,Running (Treadmill),1,0,0,0.76,804,
11/25/2024 15:15,Upper A,23h 3min,Lateral Raise (Cable),1,20,5,0,0,
11/25/2024 15:15,Upper A,23h 3min,Lateral Raise (Cable),2,17,7,0,0,10
11/25/2024 15:15,Upper A,23h 3min,Incline Bench Press (Smith Machine),1,140,6,0,0,9
11/25/2024 15:15,Upper A,23h 3min,Incline Bench Press (Smith Machine),2,140,6,0,0,10
11/25/2024 15:15,Upper A,23h 3min,Jm Press,1,50,7,0,0,9
11/25/2024 15:15,Upper A,23h 3min,Jm Press,2,50,8,0,0,10
11/25/2024 15:15,Upper A,23h 3min,Seated Row (Cable),1,135,7,0,0,9
11/25/2024 15:15,Upper A,23h 3min,Seated Wide-Grip Row (Cable),1,135,7,0,0,
11/25/2024 15:15,Upper A,23h 3min,Lat Pulldown (Cable),1,165,7,0,0,9
